Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
TCL,Crops and livestock products,150.03,Europe (excluding intra-trade),5610,Import quantity,1640,Cocoa beans,2003,2003,t,1439871,E,Estimated value,
TCL,Crops and livestock products,150.03,Europe (excluding intra-trade),5610,Import quantity,1640,Cocoa beans,2004,2004,t,1437239,E,Estimated value,
TCL,Crops and livestock products,150.03,Europe (excluding intra-trade),5610,Import quantity,1640,Cocoa beans,2005,2005,t,1501789,E,Estimated value,
TCL,Crops and livestock products,150.03,Europe (excluding intra-trade),5610,Import quantity,1640,Cocoa beans,2006,2006,t,1453044,E,Estimated value,
TCL,Crops and livestock products,150.03,Europe (excluding intra-trade),5610,Import quantity,1640,Cocoa beans,2007,2007,t,1574039,E,Estimated value,
TCL,Crops and livestock products,150.03,Europe (excluding intra-trade),5610,Import quantity,1640,Cocoa beans,2008,2008,t,1568111,E,Estimated value,
TCL,Crops and livestock products,150.03,Europe (excluding intra-trade),5610,Import quantity,1640,Cocoa beans,2009,2009,t,1610699,E,Estimated value,
TCL,Crops and livestock products,150.03,Europe (excluding intra-trade),5610,Import quantity,1640,Cocoa beans,2010,2010,t,1483581,E,Estimated value,
TCL,Crops and livestock products,150.03,Europe (excluding intra-trade),5610,Import quantity,1640,Cocoa beans,2011,2011,t,1686016,E,Estimated value,
TCL,Crops and livestock products,150.03,Europe (excluding intra-trade),5610,Import quantity,1640,Cocoa beans,2012,2012,t,1588212,E,Estimated value,
TCL,Crops and livestock products,150.03,Europe (excluding intra-trade),5610,Import quantity,1640,Cocoa beans,2013,2013,t,1471464,E,Estimated value,
TCL,Crops and livestock products,150.03,Europe (excluding intra-trade),5610,Import quantity,1640,Cocoa beans,2014,2014,t,1502377.35,E,Estimated value,
TCL,Crops and livestock products,150.03,Europe (excluding intra-trade),5610,Import quantity,1640,Cocoa beans,2015,2015,t,1213136.83,E,Estimated value,
TCL,Crops and livestock products,150.03,Europe (excluding intra-trade),5610,Import quantity,1640,Cocoa beans,2016,2016,t,1772674.74,E,Estimated value,
TCL,Crops and livestock products,150.03,Europe (excluding intra-trade),5610,Import quantity,1640,Cocoa beans,2017,2017,t,1928364.49,E,Estimated value,
TCL,Crops and livestock products,150.03,Europe (excluding intra-trade),5610,Import quantity,1640,Cocoa beans,2018,2018,t,2091000.11,E,Estimated value,
TCL,Crops and livestock products,150.03,Europe (excluding intra-trade),5610,Import quantity,1640,Cocoa beans,2019,2019,t,2083173.7,E,Estimated value,
TCL,Crops and livestock products,150.03,Europe (excluding intra-trade),5610,Import quantity,1640,Cocoa beans,2020,2020,t,1983980.57,E,Estimated value,
TCL,Crops and livestock products,150.03,Europe (excluding intra-trade),5610,Import quantity,1640,Cocoa beans,2021,2021,t,1891471.42,E,Estimated value,
TCL,Crops and livestock products,150.03,Europe (excluding intra-trade),5610,Import quantity,1640,Cocoa beans,2022,2022,t,1728939.38,E,Estimated value,
TCL,Crops and livestock products,150.03,Europe (excluding intra-trade),5610,Import quantity,1640,Cocoa beans,2023,2023,t,1847421.15,E,Estimated value,
TCL,Crops and livestock products,9.03,Oceania (excluding intra-trade),5610,Import quantity,1640,Cocoa beans,1986,1986,t,3583,E,Estimated value,
TCL,Crops and livestock products,9.03,Oceania (excluding intra-trade),5610,Import quantity,1640,Cocoa beans,1987,1987,t,1394,E,Estimated value,
TCL,Crops and livestock products,9.03,Oceania (excluding intra-trade),5610,Import quantity,1640,Cocoa beans,1988,1988,t,549,E,Estimated value,
TCL,Crops and livestock products,9.03,Oceania (excluding intra-trade),5610,Import quantity,1640,Cocoa beans,1989,1989,t,38,E,Estimated value,
TCL,Crops and livestock products,9.03,Oceania (excluding intra-trade),5610,Import quantity,1640,Cocoa beans,1990,1990,t,55,E,Estimated value,
TCL,Crops and livestock products,9.03,Oceania (excluding intra-trade),5610,Import quantity,1640,Cocoa beans,1991,1991,t,84,E,Estimated value,
TCL,Crops and livestock products,9.03,Oceania (excluding intra-trade),5610,Import quantity,1640,Cocoa beans,1992,1992,t,124,E,Estimated value,
TCL,Crops and livestock products,9.03,Oceania (excluding intra-trade),5610,Import quantity,1640,Cocoa beans,1993,1993,t,136,E,Estimated value,
TCL,Crops and livestock products,9.03,Oceania (excluding intra-trade),5610,Import quantity,1640,Cocoa beans,1994,1994,t,88,E,Estimated value,
TCL,Crops and livestock products,9.03,Oceania (excluding intra-trade),5610,Import quantity,1640,Cocoa beans,1995,1995,t,111,E,Estimated value,
TCL,Crops and livestock products,9.03,Oceania (excluding intra-trade),5610,Import quantity,1640,Cocoa beans,1996,1996,t,134,E,Estimated value,
TCL,Crops and livestock products,9.03,Oceania (excluding intra-trade),5610,Import quantity,1640,Cocoa beans,1997,1997,t,112,E,Estimated value,
TCL,Crops and livestock products,9.03,Oceania (excluding intra-trade),5610,Import quantity,1640,Cocoa beans,1998,1998,t,139,E,Estimated value,
TCL,Crops and livestock products,9.03,Oceania (excluding intra-trade),5610,Import quantity,1640,Cocoa beans,1999,1999,t,186,E,Estimated value,
TCL,Crops and livestock products,9.03,Oceania (excluding intra-trade),5610,Import quantity,1640,Cocoa beans,2000,2000,t,220,E,Estimated value,
TCL,Crops and livestock products,9.03,Oceania (excluding intra-trade),5610,Import quantity,1640,Cocoa beans,2001,2001,t,226,E,Estimated value,
TCL,Crops and livestock products,9.03,Oceania (excluding intra-trade),5610,Import quantity,1640,Cocoa beans,2002,2002,t,365,E,Estimated value,
TCL,Crops and livestock products,9.03,Oceania (excluding intra-trade),5610,Import quantity,1640,Cocoa beans,2003,2003,t,1091,E,Estimated value,
TCL,Crops and livestock products,9.03,Oceania (excluding intra-trade),5610,Import quantity,1640,Cocoa beans,2004,2004,t,2940,E,Estimated value,
TCL,Crops and livestock products,9.03,Oceania (excluding intra-trade),5610,Import quantity,1640,Cocoa beans,2005,2005,t,5260,E,Estimated value,
TCL,Crops and livestock products,9.03,Oceania (excluding intra-trade),5610,Import quantity,1640,Cocoa beans,2006,2006,t,83415,E,Estimated value,
TCL,Crops and livestock products,9.03,Oceania (excluding intra-trade),5610,Import quantity,1640,Cocoa beans,2007,2007,t,34297,E,Estimated value,
TCL,Crops and livestock products,9.03,Oceania (excluding intra-trade),5610,Import quantity,1640,Cocoa beans,2008,2008,t,47938,E,Estimated value,
TCL,Crops and livestock products,9.03,Oceania (excluding intra-trade),5610,Import quantity,1640,Cocoa beans,2009,2009,t,1220,E,Estimated value,
